Day,Department,Batch/Section,Time,Course,Room,Faculty
Sunday,,"Contest/Workshop/ACM
",03:00 PM - 04:30 PM,BBA AI,307_,NIR_
Sunday,,"Contest/Workshop/ACM
",04:30 PM - 06:00 PM,ENG CA,307_,ATB_
Sunday,,CSE-58A(47),12:00 PM - 1:30 PM,BIC Lab,311.0,MDP
Sunday,,CSE-58A(47),03:00 PM - 04:30 PM,CN Lab,310.0,UNA
Sunday,,CSE-58A(47),04:30 PM - 06:00 PM,CN Lab,310.0,UNA
Sunday,,CSE-58B+I(45),09:00 AM - 10:30 AM,BIC,205.0,MDP
Sunday,,CSE-58B+I(45),12:00 PM - 1:30 PM,CN,205.0,RFZ
Sunday,,CSE-58C+G(47),09:00 AM - 10:30 AM,BIC,GL-1,MBL
Sunday,,CSE-58C+G(47),12:00 PM - 1:30 PM,CC Lab,309.0,KBS
Sunday,,CSE-58C+G(47),01:30 PM - 03:00 PM,CC Lab,309.0,KBS
Sunday,,CSE-58E+F(51),12:00 PM - 1:30 PM,BIC,502.0,AIA
Sunday,,CSE-58E+F(51),01:30 PM - 03:00 PM,CC,502.0,MBL
Sunday,,CSE-58E+F(51),03:00 PM - 04:30 PM,CN Lab,309.0,RFZ
Sunday,,CSE-58E+F(51),04:30 PM - 06:00 PM,CN Lab,309.0,RFZ
Sunday,,CSE-59A+F(55),12:00 PM - 1:30 PM,WP Lab,310.0,NIR
Sunday,,CSE-59A+F(55),01:30 PM - 03:00 PM,WP Lab,310.0,NIR
Sunday,,CSE-59B+E(65),09:00 AM - 10:30 AM,ML Lab,307.0,AHC
Sunday,,CSE-59B+E(65),10:30 AM - 12:00 PM,ML Lab,307.0,AHC
Sunday,,CSE-59B+E(65),01:30 PM - 03:00 PM,TOC,GL-2,BSS
Sunday,,CSE-59C+H(60),09:00 AM - 10:30 AM,SE&DP Lab,309.0,BSS
Sunday,,CSE-59C+H(60),10:30 AM - 12:00 PM,SE&DP Lab,309.0,BSS
Sunday,,CSE-59C+H(60),01:30 PM - 03:00 PM,TOC,505.0,NMA
Sunday,,CSE-59I+J(42),09:00 AM - 10:30 AM,SE&DP Lab,310.0,SRC
Sunday,,CSE-59I+J(42),10:30 AM - 12:00 PM,SE&DP Lab,310.0,SRC
Sunday,,CSE-60A(47),09:00 AM - 10:30 AM,OS Lab,311.0,MHM
Sunday,,CSE-60A(47),10:30 AM - 12:00 PM,COA,GL-1,NMA
Sunday,,CSE-60A(47),12:00 PM - 1:30 PM,CE,GL-1,SSD
Sunday,,CSE-60B(40),01:30 PM - 03:00 PM,OS Lab,311.0,MDP
Sunday,,CSE-60C(44),10:30 AM - 12:00 PM,OS Lab,405.0,SRR
Sunday,,CSE-60D(40),10:30 AM - 12:00 PM,OS Lab,311.0,MHM
Sunday,,CSE-60E+F+G(42),09:00 AM - 10:30 AM,OS Lab,405.0,KBS
Sunday,,CSE-61A(49),10:30 AM - 12:00 PM,MP&I,GL-2,SAS
Sunday,,CSE-61A(49),12:00 PM - 1:30 PM,CP,405.0,BKD
Sunday,,CSE-61A(49),01:30 PM - 03:00 PM,CP,405.0,BKD
Sunday,,CSE-61B(45),09:00 AM - 10:30 AM,DBMS,408.0,SRR
Sunday,,CSE-61B(45),10:30 AM - 12:00 PM,G&VA,408.0,FAR
Sunday,,CSE-61C(45),12:00 PM - 1:30 PM,G&VA,506.0,FAR
Sunday,,CSE-61C(45),01:30 PM - 03:00 PM,MP&I,506.0,MSS
Sunday,,CSE-61C(45),03:00 PM - 04:30 PM,DBMS,506.0,GMN
